Date;Isolation;Muscu;Stretching;warmup;Chorée;Temps;Chorée_1;Temps_2;Chorée_3;Temps_4;Style;Temps_5;Style_6;Temps_7;Autre;Chorée_8;Temps_9;Chorée_10;Temps_11;Abdos;Gainage;Jambes;Bras;All;Escalade;Waacking;running_temps;running_km;Pleurs;Raisons;Column1;_12;Règles;SPM;Durée;Détails;Mood;Journaling;Stretching2;Danse;Sport;Lecture;Album;Film;Rangement;Culture;Art;Skincare;Compétence;Split stretching;Muscu3
11/02/2024;FAUX;FAUX;FAUX;;Viviz - Maniac;30;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;1;1;0;;;;
12/02/2024;FAUX;FAUX;FAUX;;Viviz - Maniac;25;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;1;1;0;0;1;0;0;;;;
13/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;0;0;0;1;0;0;0;1;;;;
14/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;1;0;1;1;0;;;;
15/02/2024;FAUX;FAUX;FAUX;;Viviz - Maniac;23;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;0;0;0;0;0;0;0;;;;
16/02/2024;VRAI;FAUX;FAUX;;Viviz - Maniac;25;Meghan Trainor - NO;15;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;1;1;0;0;0;0;1;;;;
17/02/2024;VRAI;FAUX;FAUX;;Viviz - Maniac;15;Meghan Trainor - NO;12;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;1;0;1;0;0;1;;;;
18/02/2024;VRAI;FAUX;FAUX;;Viviz - Maniac;53;;;;;;;;;;;;;;;;;;;;;;;2;Film/vidéo;;;FAUX;FAUX;gros sanglots / 30 min;;1;0;1;1;0;1;0;1;1;0;0;;;;
19/02/2024;FAUX;FAUX;FAUX;;Taemin - Guilty;30;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;1;1;1;1;0;1;0;1;1;0;;;;
20/02/2024;FAUX;FAUX;FAUX;;Taemin - Guilty;10;;;;;;;;;;;;;;;;;;;;;;;2;Film/vidéo;;;FAUX;VRAI;gros sanglots / 30 min;;2;1;1;1;0;0;1;1;0;1;0;;;;
21/02/2024;FAUX;FAUX;FAUX;;Meghan Trainor - NO;8;Taemin - Guilty;24;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;1;0;1;1;0;;;;
22/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;0;0;0;0;0;1;0;1;;;;
23/02/2024;FAUX;FAUX;FAUX;;Meghan Trainor - NO;25;;;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;VRAI;30s;;2;0;1;1;1;0;0;0;0;0;0;;;;
24/02/2024;FAUX;FAUX;FAUX;;Meghan Trainor - NO;7;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;0;0;0;0;0;0;0;;;;
25/02/2024;FAUX;FAUX;FAUX;;Meghan Trainor - NO;26;Taemin - Guilty;16;KOF - Nobody knows;14;;;;;;;;;;;;;;;;;;;1;Overthinking;Solitude;;VRAI;FAUX;1 larme;;1;0;1;1;0;0;0;1;0;0;0;;;;
26/02/2024;FAUX;FAUX;VRAI;;KOF - Nobody knows;129;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;0;1;1;0;0;;;;
27/02/2024;FAUX;FAUX;VRAI;;Jungkook - 3D;151;KOF - Nobody knows;5;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;VRAI;FAUX;10 s;;2;0;1;1;1;0;0;1;0;0;1;;;;
28/02/2024;FAUX;FAUX;FAUX;;Somi - Fast Forward;77;Jungkook - 3D;5;;;;;;;;;;;;;;;;;;;;;1;Solitude;;;VRAI;FAUX;1 larme;;4;0;1;1;1;0;0;1;1;0;1;;;;
29/02/2024;FAUX;FAUX;FAUX;;Enhypen - Fever;61;Jungkook - 3D;4;Somi - Fast Forward;6;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;0;0;1;0;1;;;;
01/03/2024;VRAI;FAUX;FAUX;;Enhypen - Fever;15;Somi - Fast Forward;33;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;15 min;;2;0;1;1;1;1;0;0;;0;1;1;0;0;0
02/03/2024;VRAI;FAUX;FAUX;;KOF - Nobody knows;10;Somi - Fast Forward;3;Enhypen - Fever;4;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;1 min;;2;1;1;1;1;1;0;0;;0;1;1;0;0;0
03/03/2024;VRAI;FAUX;FAUX;;Taemin - Guilty;20;KOF - Nobody knows;21;Jungkook - 3D;27;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;1;0;0;0;;0;0;1;0;0;0
04/03/2024;VRAI;FAUX;FAUX;;Somi - Fast Forward;27;KOF - Nobody knows;26;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;2 / 3 min;;2;1;1;1;1;1;0;0;;0;1;1;0;0;0
05/03/2024;FAUX;FAUX;FAUX;;Jungkook - 3D;7;Enhypen - Fever;10;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;0;0;0;0;1;1;1;0;0
06/03/2024;FAUX;FAUX;FAUX;;Taemin - Guilty;15;Enhypen - Fever;10;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;0;0;0;0;;0;0;1;1;0;0
07/03/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;0;0;0;0;0;;0;0;1;1;0;0
08/03/2024;VRAI;FAUX;FAUX;;Taemin - Guilty;7;Enhypen - Fever;16;Jungkook - 3D;7;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;1;0;0;0;;0;0;1;0;0;0
09/03/2024;VRAI;FAUX;FAUX;;Twice - Set me free;5;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;0;0;;0;1;1;0;0;0
10/03/2024;FAUX;FAUX;FAUX;;Taemin - Guilty;25;Enhypen - Fever;40;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;1 SEC;;3;0;1;1;0;0;0;0;0;0;1;1;0;0;0
11/03/2024;FAUX;FAUX;FAUX;;NMIXX - LoveMe;52;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;1;1;1;1;1;0;0;;0;0;1;0;0;0
12/03/2024;FAUX;FAUX;VRAI;;NMIXX - LoveMe;5;Itzy - Break my heart;32;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;4;0;1;1;0;0;0;0;;0;1;1;0;1;0
13/03/2024;VRAI;FAUX;VRAI;;NMIXX - LoveMe;23;Itzy - Break my heart;18;Jungkook - 3D;2;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;;0;0;1;1;1;0
