ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
8808533655,"31 mars 2023, 14:20:58",Course à pied dans l'après-midi,Course à pied,,3661,"7,28",,,false,,,activities/8808533655.gpx,,,3661.0,3436.0,7284.0,5.796,2.12,18.4,22.9,168.2,176.4,16.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7331.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.99,2881.4,,,,,,,,,,,,,,,,,,,,,""
8653420356,"3 mars 2023, 15:11:09",Afternoon Run,Course à pied,,4225,"8,51",,,false,,,activities/9288816574.fit.gz,,,4225.0,4140.0,8518.7,4.774,2.058,52.6,51.9,360.0,398.2,6.1,0.0,,,91.0,82.0,,,,,642.0,,,,,,,,,,,,,,,,0.0,,1.0,8556.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.016,0.0,,,,,,,,,,,,,,,,,,,,,""
8541055963,"11 févr. 2023, 08:33:59",Course à pied matinale,Course à pied,,3556,"8,05",,,false,,,activities/8541055963.gpx,,,3556.0,3504.0,8057.0,5.13,2.299,10.1,11.2,172.3,175.2,3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,8067.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.266,4278.7,,,,,,,,,,,,,,,,,,,,,""
8460596342,"27 janv. 2023, 14:42:34",Afternoon Run,Course à pied,,3655,"7,80",,,false,,,activities/9077472421.fit.gz,,,3655.0,3646.0,7799.1,4.241,2.139,6.3,6.5,172.5,175.1,2.0,0.0,,,90.0,84.0,,,,,498.0,,,,,,,,,,,,,,,,0.0,,1.0,7804.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.134,2958.4,,,,,,,,,,,,,,,,,,,,,""
8426611438,"21 janv. 2023, 09:56:51",Morning Run,Course à pied,,3390,"7,49",,,false,,,activities/9039850741.fit.gz,,,3390.0,3378.0,7495.4,4.832,2.219,5.3,5.2,171.7,175.2,2.1,0.0,,,91.0,85.0,,,,,501.0,,,,,,,,,,,,,,,,0.0,,1.0,7503.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.211,1688.1,,,,,,,,,,,,,,,,,,,,,""
8389109187,"14 janv. 2023, 09:52:54",Course à pied matinale,Course à pied,,2739,"5,82",,,false,,,activities/8389109187.gpx,,,2739.0,2685.0,5824.8,5.368,2.169,7.0,6.2,172.0,175.2,3.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5834.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.127,3230.1,,,,,,,,,,,,,,,,,,,,,""
8351295581,"7 janv. 2023, 09:51:02",Course à pied matinale,Course à pied,,2393,"5,35",,,false,,,activities/8351295581.gpx,,,2393.0,2340.0,5354.3,16.382,2.288,5.6,5.3,171.6,175.2,5.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5362.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.237,2498.7,,,,,,,,,,,,,,,,,,,,,""
8131033736,"17 nov. 2022, 14:59:40",Course à pied dans l'après-midi,Course à pied,,1809,"3,76",,,false,,,activities/8131033736.gpx,,,1809.0,1766.0,3760.6,5.354,2.129,23.1,40.0,350.2,375.3,11.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3762.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.079,1677.0,,,,,,,,,,,,,,,,,,,,,""
7873826398,"27 sept. 2022, 09:25:05",Lunch Run,Course à pied,,1710,"3,10",,,false,,,activities/8415162309.fit.gz,,,1710.0,1391.0,3100.1,3.255,2.229,17.8,31.1,350.3,372.9,29.8,-0.4,,,90.0,86.0,,,,,202.0,,,,,,,,,,,,,,,,0.0,,1.0,3126.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.813,790.3,,,,,,,,,,,,,,,,,,,,,""
7837151893,"20 sept. 2022, 08:58:09",Course à pied matinale,Course à pied,,2518,"5,13",,,false,,,activities/7837151893.gpx,,,2518.0,2481.0,5134.6,4.432,2.07,42.6,52.7,350.2,376.7,12.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5183.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.039,2872.7,,,,,,,,,,,,,,,,,,,,,""
7598992411,"7 août 2022, 15:23:42",Course à pied dans l'après-midi,Course à pied,"",2535,"5,16",,,false,,,activities/7598992411.gpx,,,2535.0,2443.0,5159.5,4.99,2.112,151.0,154.4,501.9,555.7,37.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5816.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.035,0.0,,,,,,,,,,,,,,,,,,,,,media/67f86b10-ebd3-4665-bb48-4d40739921b8.jpg
