"ISBN";"Titre";"Auteur";"Editeur";"Date de publication";"Date d`entrée dans Babelio";"Statut";"Note"
"9782818931882";"Ceux qui me restent";"Marie Damien";"Bamboo";"2014-08-27";"2023-04-26 16:55:38";"Lu";"3.0"
"9791033902393";"Debout";"McGowan Rose";"Harper Collins";"2018-02-28";"2023-04-20 15:49:24";"Lu";"4.0"
"9782365775823";"Preacher, Livre I";"Ennis Garth";"URBAN COMICS";"2015-01-23";"2023-04-17 17:50:46";"Lu";"2.0"
"9782253934738";"Soeurs";"Johnson Daisy";"Le Livre de Poche";"2023-01-11";"2023-04-17 17:48:33";"Lu";"4.0"
"9782221221662";"Sur la route, vers ailleurs";"Wood Benjamin";"Robert Laffont";"2021-03-04";"2023-04-14 09:28:10";"Lu";"3.5"
"9782413000167";"Géante : Histoire de celle qui parcourut le monde à la recherche de la liberté";"Deveney Jean-Christophe";"Delcourt";"2020-04-01";"2023-04-04 09:43:14";"Lu";"4.0"
"9791038700024";"La sirène d'Isé";"Haddad Hubert";"Zulma";"2021-01-14";"2023-03-31 22:46:06";"Lu";"2.0"
"9782917897102";"Les aventures d'Ultra-Chômeur";"Origen Erich";"Editions Presque lune";"2013-11-16";"2023-03-31 22:43:40";"Lu";"2.5"
"9782100801367";"Former avec la réalité virtuelle";"Gobin Mignot Emilie";"Dunod";"2019-10-01";"2023-03-29 10:06:20";"Lu";"3.5"
"9782290362372";"Ce matin-là";"Josse Gaëlle";"J'ai lu";"2022-08-17";"2023-03-24 19:17:19";"Lu";"4.0"
"9782749308982";"Stella";"Bonin Cyril";"Vents d'Ouest";"2020-03-11";"2023-03-15 19:41:34";"Lu";"3.0"
"9782203081468";"Le muret";"Fraipont Céline";"Casterman";"2014-01-22";"2023-03-14 07:30:43";"Lu";"3.5"
"9782377314423";"Chinese queer";"Seven ";"Sarbacane";"2020-09-02";"2023-03-10 23:03:35";"Lu";"3.5"
"9782809453164";"Jessica Jones - Alias, tome 1 : Secrets et mensonges";"Bendis Brian Michael";"Panini";"2016-01-13";"2023-02-26 19:07:51";"Lu";"3.0"
"9791030704433";"Et nous aurons l'éternité";"Fradier Catherine";"Au Diable Vauvert";"2021-05-05";"2023-02-23 19:01:32";"Lu";"4.0"
"9782810204984";"Ce que nous sommes";"Zep ";"Rue de Sèvres";"2022-03-16";"2023-02-21 10:33:09";"Lu";"4.0"
"9782266168083";"J'ai commencé par un joint";"Hélène ";"Pocket";"2007-08-27";"2023-02-20 20:46:43";"Lu";"2.5"
"9782290382615";"Lore";"Bracken Alexandra";"J'ai lu";"2023-02-01";"2023-02-20 12:27:37";"Lu";"4.0"
"9782413047759";"Ghost world";"Clowes Daniel";"Delcourt";"2023-01-11";"2023-02-16 00:22:58";"Lu";"2.5"
"9791092636345";"Les déliés";"Roudaut Sandrine";"La mer salée";"2020-09-03";"2023-02-13 19:04:59";"Lu";"3.0"
"9791090425552";"Serge et Demi-Serge";"Monde Geoffroy";"Vide Cocagne";"2014-11-11";"2023-02-05 22:53:56";"Lu";"3.0"
"9782344010648";"Peau d'Homme";"Hubert ";"Glénat BD";"2020-04-01";"2023-01-29 11:29:10";"Lu";"5.0"
"9782344041864";"Immonde !";"Holleville Elizabeth";"Glénat BD";"2022-01-12";"2023-01-29 11:22:55";"Lu";"3.5"
"9782205073843";"Les jours sucrés";"Clément Loïc";"Dargaud";"2016-02-19";"2023-01-28 14:12:46";"Lu";"2.0"
"9782354087821";"Petit Blanc";"Cartelet Nicolas";"Mnémos";"2020-08-28";"2023-01-22 09:44:06";"Lu";"3.0"
"9782756080758";"De rien";"Monde Geoffroy";"Delcourt";"2016-06-01";"2023-01-18 17:55:00";"Lu";"4.0"
"9782383611004";"Nous voulons tous être sauvés";"Mencarelli Daniele";"Editeur Globe";"2022-03-02";"2023-01-09 12:32:49";"Lu";"4.5"
"9782374482095";"L'ange de Pigalle";"Arcelin Jean";"Xo";"2021-03-11";"2023-01-01 19:02:32";"Lu";"4.5"
"9782344050521";"Mon ami Pierrot";"Bishop Jim";"Glénat BD";"2022-09-14";"2022-12-28 20:28:34";"Lu";"4.5"
"9782072930119";"Les Flammes de pierre";"Rufin Jean-Christophe";"Gallimard";"2021-10-07";"2022-11-19 21:36:33";"Lu";"2.0"
"9791033907602";"Jolis jolis monstres";"Dufresne-Lamy Julien";"Harpercollins";"2020-08-19";"2022-11-10 23:14:13";"Lu";"4.5"
"9782253262848";"Le cerf-volant";"Colombani Laetitia";"Le Livre de Poche";"2022-05-25";"2022-11-08 15:03:45";"Lu";"3.0"
"9782844142405";"Persepolis";"Satrapi Marjane";"L'Association";"2007-05-23";"2022-10-21 10:22:38";"Lu";"3.0"
"9782253172161";"Le Concile de Pierre";"Grangé Jean-Christophe";"Librairie générale française";"2002-02-13";"2022-10-18 21:42:57";"Lu";"0.0"
